year	CO2	gistemp
1959	315.98	0.024
1960	316.91	-0.0227
1961	317.64	0.0544
1962	318.45	0.0389
1963	318.99	0.0694
1964	319.62	-0.196
1965	320.04	-0.1026
1966	321.37	-0.0464
1967	322.18	-0.0191
1968	323.05	-0.0738
1969	324.62	0.0682
1970	325.68	0.0327
1971	326.32	-0.0893
1972	327.46	0.015
1973	329.68	0.1615
1974	330.19	-0.0809
1975	331.12	-0.0136
1976	332.03	-0.1054
1977	333.84	0.1734
1978	335.41	0.0674
1979	336.84	0.1624
1980	338.76	0.2745
1981	340.12	0.3326
1982	341.48	0.1369
1983	343.15	0.3163
1984	344.85	0.1665
1985	346.35	0.1224
1986	347.61	0.1874
1987	349.31	0.3376
1988	351.69	0.4119
1989	353.20	0.2949
1990	354.45	0.4437
1991	355.70	0.4169
1992	356.54	0.2261
1993	357.21	0.2447
1994	358.96	0.3157
1995	360.97	0.4513
1996	362.74	0.3407
1997	363.88	0.4718
1998	366.84	0.6289
1999	368.54	0.4049
2000	369.71	0.4082
2001	371.32	0.5412
2002	373.45	0.6297
2003	375.98	0.6138
2004	377.70	0.5416
2005	379.98	0.6783
2006	382.09	0.6252
2007	384.03	0.6448
2008	385.83	0.5226
2009	387.64	0.6401
2010	390.10	0.7054
2011	391.85	0.5881
2012	394.06	0.6209
2013	396.74	0.6504
2014	398.87	0.7372
2015	401.01	0.8706
2016	404.41	0.9967
2017	406.76	0.9074
2018	408.72	0.8333
2019	411.66	0.8333
2020	414.24	0.8333
