Ltemp	Ltime	Lpress	Ctemp	Ctime	Catmos	Camber
-1	-1	-1	-1	-1	-1	167
1	-1	-1	-1	1	1	62
-1	1	-1	-1	1	-1	41
1	1	-1	-1	-1	1	73
-1	-1	1	-1	1	1	47
1	-1	1	-1	-1	-1	219
-1	1	1	-1	-1	1	121
1	1	1	-1	1	-1	255
-1	-1	-1	1	-1	1	32
1	-1	-1	1	1	-1	78
-1	1	-1	1	1	1	43
1	1	-1	1	-1	-1	186
-1	-1	1	1	1	-1	110
1	-1	1	1	-1	1	65
-1	1	1	1	-1	-1	155
1	1	1	1	1	1	93
-1	-1	-1	-1	-1	-1	128
1	-1	-1	-1	1	1	66
-1	1	-1	-1	1	-1	43
1	1	-1	-1	-1	1	81
-1	-1	1	-1	1	1	47
1	-1	1	-1	-1	-1	258
-1	1	1	-1	-1	1	90
1	1	1	-1	1	-1	250
-1	-1	-1	1	-1	1	23
1	-1	-1	1	1	-1	158
-1	1	-1	1	1	1	27
1	1	-1	1	-1	-1	137
-1	-1	1	1	1	-1	86
1	-1	1	1	-1	1	109
-1	1	1	1	-1	-1	158
1	1	1	1	1	1	124
-1	-1	-1	-1	-1	-1	149
1	-1	-1	-1	1	1	44
-1	1	-1	-1	1	-1	42
1	1	-1	-1	-1	1	39
-1	-1	1	-1	1	1	40
1	-1	1	-1	-1	-1	147
-1	1	1	-1	-1	1	92
1	1	1	-1	1	-1	226
-1	-1	-1	1	-1	1	77
1	-1	-1	1	1	-1	60
-1	1	-1	1	1	1	28
1	1	-1	1	-1	-1	158
-1	-1	1	1	1	-1	101
1	-1	1	1	-1	1	126
-1	1	1	1	-1	-1	145
1	1	1	1	1	1	110
-1	-1	-1	-1	-1	-1	185
1	-1	-1	-1	1	1	20
-1	1	-1	-1	1	-1	50
1	1	-1	-1	-1	1	30
-1	-1	1	-1	1	1	89
1	-1	1	-1	-1	-1	296
-1	1	1	-1	-1	1	86
1	1	1	-1	1	-1	169
-1	-1	-1	1	-1	1	69
1	-1	-1	1	1	-1	45
-1	1	-1	1	1	1	28
1	1	-1	1	-1	-1	159
-1	-1	1	1	1	-1	158
1	-1	1	1	-1	1	71
-1	1	1	1	-1	-1	145
1	1	1	1	1	1	133
