"Ncas" "NTem" "Strate" "TAB" "ALC" "cancer"
0 43 1 1 1 0
0 21 1 1 2 0
0 6 1 1 3 0
0 2 1 1 4 0
0 18 1 2 1 0
0 15 1 2 2 0
0 23 1 3 1 0
0 23 1 3 2 0
0 4 1 3 3 0
1 2 1 3 4 1
0 8 1 4 1 0
0 8 1 4 2 0
0 1 1 4 4 0
0 26 2 1 1 0
0 23 2 1 2 0
0 9 2 1 3 0
0 3 2 1 4 0
0 11 2 2 1 0
0 15 2 2 2 0
0 6 2 2 3 0
1 3 2 2 4 1
1 11 2 3 1 1
1 18 2 3 2 1
1 8 2 3 3 1
2 3 2 3 4 1
0 12 2 4 1 0
0 5 2 4 2 0
0 5 2 4 3 0
2 1 2 4 4 1
0 20 3 1 1 0
1 23 3 1 2 1
0 11 3 1 3 0
1 3 3 1 4 1
1 16 3 2 1 1
3 17 3 2 2 1
7 5 3 2 3 1
7 3 3 2 4 1
3 13 3 3 1 1
7 17 3 3 2 1
8 6 3 3 3 1
7 4 3 3 4 1
1 8 3 4 1 1
1 10 3 4 2 1
3 10 3 4 3 1
8 1 3 4 4 1
0 28 4 1 1 0
2 20 4 1 2 1
1 9 4 1 3 1
1 3 4 1 4 1
1 12 4 2 1 1
7 13 4 2 2 1
3 6 4 2 3 1
6 4 4 2 4 1
0 11 4 3 1 0
2 12 4 3 2 1
10 7 4 3 3 1
11 6 4 3 4 1
0 6 4 4 1 0
2 7 4 4 2 1
4 1 4 4 3 1
4 1 4 4 4 1
2 17 5 1 1 1
1 16 5 1 2 1
2 1 5 1 3 1
2 3 5 1 4 1
1 9 5 2 1 1
9 17 5 2 2 1
1 8 5 2 3 1
3 1 5 2 4 1
0 7 5 3 1 0
3 8 5 3 2 1
5 4 5 3 3 1
4 4 5 3 4 1
0 6 5 4 1 0
2 2 5 4 2 1
3 5 5 4 3 1
3 0 5 4 4 1
1 21 6 1 1 1
0 17 6 1 2 0
0 5 6 1 3 0
0 3 6 1 4 0
0 6 6 2 1 0
0 7 6 2 2 0
0 5 6 2 3 0
2 3 6 2 4 1
0 6 6 3 1 0
1 7 6 3 2 1
1 1 6 3 3 1
2 2 6 3 4 1
0 1 6 4 1 0
0 2 6 4 2 0
0 13 7 1 1 0
0 2 7 1 2 0
0 1 7 1 4 0
0 2 7 2 1 0
0 6 7 2 2 0
0 1 7 2 3 0
0 1 7 2 4 0
0 4 7 3 1 0
0 3 7 3 2 0
0 2 7 4 1 0
0 1 7 4 2 0
0 2 7 4 4 0
0 15 8 1 1 0
0 5 8 1 2 0
0 1 8 1 3 0
0 1 8 1 4 0
0 3 8 2 1 0
0 2 8 2 2 0
0 7 8 3 1 0
0 2 8 3 2 0
0 3 8 3 3 0
1 4 8 3 4 1
0 4 8 4 1 0
0 6 8 4 2 0
0 3 8 4 3 0
0 16 9 1 1 0
0 5 9 1 2 0
1 3 9 1 3 1
0 3 9 1 4 0
0 8 9 2 1 0
0 2 9 2 2 0
0 2 9 2 3 0
0 3 9 3 1 0
1 4 9 3 2 1
2 3 9 3 3 1
1 3 9 3 4 1
1 3 9 4 1 1
0 5 9 4 2 0
1 3 9 4 3 1
3 1 9 4 4 1
0 16 10 1 1 0
1 5 10 1 2 1
0 8 10 1 3 0
3 2 10 1 4 1
0 7 10 2 1 0
0 4 10 2 2 0
1 1 10 2 3 1
1 2 10 2 4 1
2 5 10 3 1 1
0 8 10 3 2 0
2 4 10 3 3 1
2 3 10 3 4 1
0 3 10 4 1 0
0 3 10 4 2 0
1 1 10 4 3 1
3 4 10 4 4 1
0 24 11 1 1 0
1 11 11 1 2 1
0 4 11 1 3 0
1 2 11 1 4 1
1 4 11 2 1 1
0 3 11 2 2 0
2 1 11 2 3 1
2 0 11 2 4 1
0 6 11 3 1 0
1 7 11 3 2 1
0 2 11 3 3 0
2 3 11 3 4 1
0 3 11 4 1 0
0 4 11 4 2 0
0 1 11 4 3 0
0 1 11 4 4 0
0 22 12 1 1 0
0 18 12 1 2 0
0 8 12 1 3 0
0 1 12 1 4 0
0 6 12 2 1 0
1 6 12 2 2 1
1 2 12 2 3 1
1 0 12 2 4 1
0 3 12 3 1 0
0 3 12 3 2 0
0 1 12 3 3 0
0 1 12 3 4 0
0 3 12 4 2 0
0 3 12 4 3 0
1 0 12 4 4 1
0 2 13 1 2 0
0 1 13 1 3 0
0 1 13 2 1 0
0 1 13 2 2 0
0 2 13 2 3 0
0 2 13 3 1 0
0 2 13 3 2 0
1 2 13 3 3 1
0 2 13 3 4 0
0 1 13 4 1 0
0 3 14 1 1 0
0 3 14 1 2 0
0 2 14 1 3 0
0 2 14 1 4 0
0 1 14 3 1 0
0 2 14 3 2 0
1 2 14 3 3 1
1 0 14 3 4 1
0 1 14 4 1 0
0 1 14 4 2 0
0 1 14 4 3 0
0 1 14 4 4 0
0 15 15 1 1 0
0 16 15 1 2 0
0 8 15 1 3 0
1 8 15 1 4 1
0 6 15 2 1 0
1 4 15 2 2 1
0 4 15 2 3 0
0 3 15 2 4 0
2 11 15 3 1 1
1 12 15 3 2 1
0 4 15 3 3 0
3 6 15 3 4 1
1 2 15 4 1 1
2 1 15 4 2 1
2 2 15 4 3 1
4 4 15 4 4 1
0 23 16 1 1 0
0 22 16 1 2 0
1 10 16 1 3 1
0 7 16 1 4 0
0 13 16 2 1 0
1 16 16 2 2 1
0 10 16 2 3 0
1 4 16 2 4 1
1 10 16 3 1 1
1 22 16 3 2 1
3 5 16 3 3 1
